epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,405.722,0.83065,0.75248,1.1216,0.85881,0.51642,0.53281,0.36854,1.54131,1.94195,1.75047,0.00046045,0.00046045,0.00046045
111,409.205,0.83934,0.76576,1.11726,0.85832,0.51871,0.54527,0.37448,1.53574,1.8684,1.66852,0.0004555,0.0004555,0.0004555
112,412.655,0.81472,0.72554,1.1076,0.80823,0.52772,0.54456,0.38236,1.50562,1.80681,1.64275,0.00045055,0.00045055,0.00045055
113,416.144,0.80145,0.72871,1.09389,0.93816,0.48228,0.52845,0.37215,1.46622,1.85457,1.66847,0.0004456,0.0004456,0.0004456
114,419.862,0.80894,0.72145,1.09288,0.7449,0.51219,0.51773,0.36914,1.50333,2.01575,1.69026,0.00044065,0.00044065,0.00044065
115,423.323,0.75594,0.691,1.06445,0.85996,0.50587,0.53468,0.37859,1.52866,2.03958,1.68381,0.0004357,0.0004357,0.0004357
116,426.79,0.80463,0.75771,1.09141,0.93733,0.51345,0.54892,0.38177,1.50649,1.87065,1.6922,0.00043075,0.00043075,0.00043075
117,430.239,0.79582,0.73066,1.08214,0.83601,0.55368,0.56455,0.39781,1.49789,1.85536,1.64118,0.0004258,0.0004258,0.0004258
118,433.707,0.7745,0.67902,1.06733,0.93193,0.51744,0.56479,0.39621,1.49077,1.90863,1.6043,0.00042085,0.00042085,0.00042085
119,437.191,0.7834,0.71709,1.07485,0.8539,0.52477,0.53976,0.37539,1.49586,1.93784,1.62564,0.0004159,0.0004159,0.0004159
120,440.634,0.78213,0.70011,1.07513,0.83106,0.48274,0.52763,0.37861,1.49713,2.03745,1.6388,0.00041095,0.00041095,0.00041095
121,444.077,0.78419,0.68296,1.08141,0.89129,0.46496,0.51753,0.36668,1.47762,1.94123,1.59814,0.000406,0.000406,0.000406
122,447.551,0.7758,0.67003,1.06986,0.88431,0.44394,0.52531,0.36887,1.50701,1.94449,1.69969,0.00040105,0.00040105,0.00040105
123,451.012,0.76574,0.68259,1.07075,0.86441,0.47093,0.51127,0.35887,1.53828,1.99647,1.73562,0.0003961,0.0003961,0.0003961
124,454.686,0.77417,0.67819,1.08546,0.74085,0.48567,0.51589,0.37142,1.45199,1.97189,1.59036,0.00039115,0.00039115,0.00039115
125,458.154,0.75416,0.67299,1.06911,0.78121,0.46496,0.5093,0.36656,1.47927,2.01679,1.57582,0.0003862,0.0003862,0.0003862
126,461.826,0.73913,0.65075,1.0512,0.7691,0.5148,0.51691,0.36641,1.43777,1.89743,1.54569,0.00038125,0.00038125,0.00038125
127,465.424,0.7801,0.70682,1.08596,0.7884,0.49509,0.51517,0.36464,1.44614,1.86679,1.53897,0.0003763,0.0003763,0.0003763
128,468.869,0.76475,0.6584,1.07844,0.83515,0.47732,0.52445,0.36805,1.50315,1.94821,1.64031,0.00037135,0.00037135,0.00037135
129,472.311,0.74632,0.67655,1.05998,0.75894,0.4873,0.52682,0.37326,1.42871,1.91502,1.56524,0.0003664,0.0003664,0.0003664
